position,person,personID,start,end
monarch,Hamad bin Isa Al Khalifa,Q57352,1999-03-06,
Prime Minister,Khalifa bin Salman Al Khalifa,Q57726,1970-01-10,2020-11-11
Prime Minister,Salman bin Hamad bin Isa Al Khalifa,Q58140,2020-11-11,
Deputy Prime Minister,Shaikh Ali bin Khalifa Al Khalifa,Q113992871,2005-09-26,
Deputy Prime Minister,Muhammad ibn Mubarak ibn Hamad Al Khalifah,Q6932875,2005-09-26,2022-06-13
Deputy Prime Minister,Jawad Al-Arrayedh,Q6165879,2006-12-11,2022-06-14
Deputy Prime Minister,Khalid bin Abdullah Al Khalifa,Q16730783,2010-11-02,
Minister of Cabinet Affairs,Mohammed bin Ibrahim Al Mutawa,Q16115995,1993,2005
Minister of Cabinet Affairs,Ahmed bin Ateyatalla Al Khalifa,Q4696094,2005-09,2011
Minister of Cabinet Affairs,Mohammed bin Ibrahim Al Mutawa,Q16115995,2015-09-30,2022-06-13
Minister of Cabinet Affairs,Hamad bin Faisal Al Malki,Q113992957,2022-06-13,
Minister of Defence,Khalifa bin Ahmed Al Khalifa,Q20402357,1988-03-31,2008-01-06
Minister of Defence,Abdulla bin Hasan AlNuaimi,Q113992841,2018-12-04,
Minister of Education,Mohammed bin Jasim Alghatam,Q28968147,2001,2002
Minister of Education,Majed bin Ali Al-Naimi,Q98885149,2002-11-11,2022-11-21
Minister of Education,Mohammed bin Mubarak Juma,Q115343006,2022-11-21,
Minister of Electricity and Water Affairs,Wael bin Nasser AlMubarak,Q113992844,2019-10-05,2022-06-13
Minister of Electricity and Water Affairs,Yasser bin Ibrahim Humaidan,Q113992878,2022-06-13,
Minister of Finance and National Economy,Salman bin Khalifa Al Khalifa,Q112326281,2018-12-04,
Minister of Foreign Affairs,Muhammad ibn Mubarak ibn Hamad Al Khalifah,Q6932875,1969-01-12,2005-09-29
Minister of Foreign Affairs,Khalid bin Ahmed Al Khalifa,Q58171,2005-09-26,2020-02-11
Minister of Foreign Affairs,Abdullatif bin Rashid Al Zayani,Q4666152,2020-02-11,
Minister of Health,Nada Haffadh,Q16190522,2004,2007-09
Minister of Health,Faisal al-Hamar,Q5431085,2007,2011
Minister of Health,Faeqa bint Saeed Al Saleh,Q42822269,2015-09-30,2022-06-13
Minister of Health,Jalila bint Al Sayyed Jawad Hassan,Q113992885,2022-06-13,
Minister of Housing,Ebrahim bin Khalifa Al Khalifa,Q5331994,2007-12,2011
Minister of Housing,Basim bin Yacoub AlHamer,Q113992842,2011-03-23,2022-06-13
Minister of Housing,Amna bint Ahmed Al Romaihi,Q113992960,2022-06-13,
Minister for Human Rights,Salah Ali,Q20420786,2012-04,2014-12
"Minister of Industry, Commerce and Tourism",Zayed bin Rashid AlZayani,Q113992845,2014-12-06,2022-11-21
"Minister of Industry, Commerce and Tourism",Abdulla bin Adel Fakhro,Q115343267,2022-11-21,
Minister of Information,Mohammed bin Ibrahim Al Mutawa,Q16115995,1995-06-26,2001
Minister of Information,Ali bin Mohammed Al Rumaihi,Q98804586,2013-05-02,2022-06-13
Minister of Information,Ramzan bin Abdulla Al Nuaimi,Q113992886,2022-06-13,
Minister of Infrastructure,Khalid bin Abdullah Al Khalifa,Q16730783,2022-06-13,
Minister of the Interior,Mohammed bin Khalifa Al Khalifa,Q113581946,1973,2004
Minister of the Interior,Rashid bin Abdullah Al Khalifa,Q16730784,2004-05-22,
Minister of Justice,Jawad Al-Arrayedh,Q6165879,2002-11,2005
Minister of Justice,Shaikh Khalid bin Ali bin Abdullah Al Khalifa,Q99968427,2006-09-11,2022-06-13
Minister of Justice,Nawaf bin Mohammed Al-Mawadah,Q113992890,2022-06-13,
Minister of Labour and Social Development,Jameel Humaidan,Q6127890,2015-09-30,
Minister of Legal Affairs,Yousif bin Abdulhussain Khalaf,Q113993092,2022-06-13,
Minister of Municipalities and Agriculture,Wael bin Nasser AlMubarak,Q113992844,2019-10-05,
Minister of Oil and Gas,Mohammed bin Khalifa bin Ahmed,Q47495164,2016-06-05,2022-06-13
Minister of Oil and Gas,Mohammed bin Mubarak bin Daina,Q113992894,2022-06-13,
Minister of Parliament Affairs,Ghanim bin Fadhl AlBuainain,Q113992843,2014-12-06,
Minister of Social Development,Fatima bint Mohammed Al Balooshi,Q43296389,2018-12,2022-06-13
Minister of Social Development,Osama bin Ahmed Khalaf Al Asfoor,Q113992892,2022-06-13,
Minister of Sustainable Development,Noor bint Ali Al Khulaif,Q113993090,2022-06-13,
Minister of Tourism,Fatima bint Jaffer Al Sairafi,Q113993088,2022-06-13,
Minister of Transportation and Communications,Kamal Ahmed,Q6355372,2012-02,2022-06-13
Minister of Transportation and Communications,Mohammed bin Thamer Al Kaabi,Q113992895,2022-06-13,
Minister of Works,Fahmi al-Jowder,Q5429567,2001,2011
Minister of Works,Essam Khalaf,Q18922847,2010-11-02,2022-06-13
Minister of Works,Ibrahim Hassan Ali Al-Hawaj,Q113990485,2022-06-15,
Minister of Youth and Sport Affairs,Aymen Tawfeeq Abdulrahman Almoayed,Q105226570,2018-12-04,2022-11-21
Minister of Youth and Sport Affairs,Rawan bint Najeeb Tawfiqi,Q115343224,2022-11-21,
ambassador to the Netherlands,Alees Samaan,Q4714362,2014,2015
ambassador to Ireland,Alees Samaan,Q4714362,2012,2015
ambassador to the United Kingdom,Khalid bin Ahmed Al Khalifa,Q58171,2001,2005
ambassador to the United Kingdom,Khalifa bin Ali bin Rashid Al-Khalifa,Q22687699,2008,2011
ambassador to the United Kingdom,Alees Samaan,Q4714362,2011,2015
ambassador to the United Kingdom,Fawaz bin Mohammed Al Khalifa,Q28510307,2015,
ambassador to the United States of America,Abdullah Bin Mohammad Bin Rashed Al Khalifa,Q28474385,2013-12-03,
